Timestamp,Model,CV_RMSLE,FeatureSet_Version,Hyperparameters,Notes
2026-06-11 19:53:05,Ridge,0.11823,v1.0 (16 Engineered Features),"{'alpha': 10.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",Baseline runs for comparison
2026-06-11 19:53:05,Lasso,0.11837,v1.0 (16 Engineered Features),"{'alpha': 0.0005, 'copy_X': True, 'fit_intercept': True, 'max_iter': 10000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",Baseline runs for comparison
2026-06-11 19:53:05,ElasticNet,0.11826,v1.0 (16 Engineered Features),"{'alpha': 0.0005, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 10000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",Baseline runs for comparison
2026-06-11 19:53:05,RandomForest,0.12925,v1.0 (16 Engineered Features),"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 15, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",Baseline runs for comparison
2026-06-11 19:53:05,XGBoost,0.11543,v1.0 (16 Engineered Features),"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.4, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.03, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 4, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 1000, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0}",Baseline runs for comparison
2026-06-11 19:53:05,LightGBM,0.11705,v1.0 (16 Engineered Features),"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.4, 'importance_type': 'split', 'learning_rate': 0.03, 'max_depth': 4, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 1000, 'n_jobs': None, 'num_leaves': 15, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 0.8, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",Baseline runs for comparison
2026-06-11 19:53:05,CatBoost,0.11363,v1.0 (16 Engineered Features),"{'iterations': 1200, 'learning_rate': 0.03, 'depth': 5, 'loss_function': 'RMSE', 'random_seed': 42, 'verbose': 0}",Baseline runs for comparison
2026-06-11 19:53:53,Optimized_Ensemble,0.1109,v1.0 (16 Engineered Features),"{'CatBoost': np.float64(0.2664), 'LightGBM': np.float64(0.1603), 'ElasticNet': np.float64(0.3691), 'XGBoost': np.float64(0.2042)}",Nelder-Mead/SLSQP optimization of out-of-fold predictions
2026-06-11 20:29:29,CatBoost_Ablation,0.113048,Ablation: [],"iterations=1200, lr=0.03, depth=5",Leak-free CV Baseline
2026-06-11 20:31:00,CatBoost_Ablation,0.113048,Ablation: [],"iterations=1200, lr=0.03, depth=5",Leak-free CV Baseline
2026-06-11 20:39:05,CatBoost_Ablation,0.113048,Ablation: [],"iterations=1200, lr=0.03, depth=5",Leak-free CV Baseline
2026-06-11 20:57:51,Ridge,0.11872,v1.0 (16 Engineered Features - Leak Free CV),"{'alpha': 10.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",Leak-free CV optimized run
